title,price,negotiations,city,area,price_for_meter,link
Sprzedam działkę rolno-budowlaną,125 000 zł,do negocjacji,Bednary,8 000 m²,15.63 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-rolno-budowlana-CID3-IDSXlrs.html
Sprzedam działkę w centrum w Starych Załubicach g.Radzymin,450 000 zł,do negocjacji,Stare Załubice,4 000 m²,112.5 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-w-centrum-w-starych-zalubicach-g-radzymin-CID3-IDWeywg.html
działka budowlana 1850m2 wjazd bezpośrednio z asfaltu,199 000 zł,do negocjacji,Pabianice,1 850 m²,107.57 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-1850m2-wjazd-bezposrednio-z-asfaltu-CID3-IDYoVVz.html
"Działka 25 arów z fundamentami i projektem, Wierzb",155 000 zł,,Wierzbowo,2 546 m²,60.88 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-25-arow-z-fundamentami-i-projektem-wierzb-ID4ndYv.html
Działka powiat Rawski,95 000 zł,,Helenów,1 068 m²,88.95 zł/m²,https://www.olx.pl/d/oferta/dzialka-powiat-rawski-CID3-IDYqOqW.html
Działka rolno-budowlana Miedniewice,532 500 zł,do negocjacji,Miedniewice,21 300 m²,25 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-miedniewice-CID3-IDHFa2Y.html
Ostrowy gm.Somianka 2800m2  przy głównej asfaltowej ulicy,230 000 zł,,Ostrowy,2 700 m²,85.19 zł/m²,https://www.olx.pl/d/oferta/ostrowy-gm-somianka-2800m2-przy-glownej-asfaltowej-ulicy-CID3-IDWEJIV.html
Działka rolno-budowlana Miedniewice,356 250 zł,do negocjacji,Miedniewice,14 250 m²,25 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-miedniewice-CID3-IDHF9Hx.html
Działka budowlana w zalesionej i spokojnej okolicy,85 000 zł,,Załuski,2 269 m²,37.46 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-w-zalesionej-i-spokojnej-okolicy-ID4oQBp.html
Działka budowlana 1981m2  Ludwikowo Płock,237 720 zł,do negocjacji,Płock,1 981 m²,120 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-1981m2-ludwikowo-plock-CID3-IDV4lyN.html
Działka inwestycyjna Sławinek,996 600 zł,,Lublin,906 m²,1100 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-inwestycyjna-slawinek-ID4oQAD.html
Projekt inwestycyjny od właściciela,1 850 000 zł,,Lublin,666 m²,2777.78 zł/m²,https://www.otodom.pl/pl/oferta/projekt-inwestycyjny-od-wlasciciela-ID4owlf.html
"działka z warunkami zabudowy, 500 m do Jeziora Urszulewskiego",69 000 zł,,Baba,958 m²,72.03 zł/m²,https://www.olx.pl/d/oferta/dzialka-z-warunkami-zabudowy-500-m-do-jeziora-urszulewskiego-CID3-IDY6HMX.html
Działka rolno-budowlana z MPZP przy DK 50 Janówek/K.Grójca,1 160 000 zł,,Grójec,11 600 m²,100 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-z-mpzp-przy-dk-50-janowek-k-grojca-CID3-IDXb3Ht.html
Działka budowlana w Kazimierzu Dolnym,205 000 zł,,Kazimierz Dolny,1 629 m²,125.84 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-w-kazimierzu-dolnym-CID3-IDWEdf0.html
Działka rolno-budowlana,210 000 zł,do negocjacji,Nowa Prawda,22 000 m²,9.55 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-CID3-IDY6Ml1.html
Pod zabudowę mieszkaniową Majdan k/Wa-wy,350 000 zł,,Majdan,1 479 m²,236.65 zł/m²,https://www.otodom.pl/pl/oferta/pod-zabudowe-mieszkaniowa-majdan-k-wa-wy-ID4oDpD.html
Działka Budowlana 10 min pieszo do Pkp Józefów,870 000 zł,,Józefów,1 159 m²,750.65 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-10-min-pieszo-do-pkp-jozefow-ID4oQtF.html
Sprzedam działkę w Ujazdowku,320 000 zł,,Ciechanów,17 640 m²,18.14 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-w-ujazdowku-CID3-IDY5BOP.html
Sprzedam działkę w  Mszczonowie,1 040 200 zł,,Mszczonów,2 972 m²,350 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-w-mszczonowie-CID3-IDYqwZa.html
Działka 2499m2 za 99 000zł warunki zabudowy,99 000 zł,,Grabszczyzna,2 429 m²,40.76 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-2499m2-za-99-000zl-warunki-zabudowy-ID4itvz.html
Działka Teodorów ul. Siedlecka - 1025m2,210 125 zł,,Teodorów,1 025 m²,205 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-teodorow-ul-siedlecka-1025m2-ID4oNty.html
